id,availability_365,latitude,longitude
20570248,18,51.43147937,-0.110141967
20570463,46,51.41746262,-0.220947373
20570654,32,51.53158069,-0.117753597
20570738,34,51.53131279,-0.117757752
20570784,330,51.51328911,-0.049795412
20571109,259,51.46726369,-0.141214024
20571253,343,51.51165878,-0.05039462
20571470,91,51.5885782,-0.020903765
20571515,278,51.51164615,-0.05101239
20571684,173,51.50735137,-0.265395702
20573178,287,51.49611521,-0.082996309
20574169,11,51.49809622,-0.037810788
20575139,4,51.52231636,-0.075095421
20575884,238,51.4738094,-0.133814781
20576075,332,51.52413895,-0.068254361
20576509,180,51.53601095,0.079226024
20576721,29,51.54675696,-0.051732915
20577133,63,51.49994213,-0.086532074
20577319,41,51.49037397,-0.209903317
20577577,174,51.4622706,-0.169996378
20577584,167,51.48919646,-0.150219827
20577621,0,51.53032725,-0.083045685
20578001,0,51.52042446,-0.165892566
20578217,90,51.51699141,-0.075523603
20578264,66,51.51991827,-0.254657886
20578320,0,51.48271191,-0.20048476
20578348,2,51.54590413,-0.190840077
20579117,99,51.54592569,-0.179388183
20579156,177,51.55794129,-0.16037517
20579171,332,51.51366391,-0.167963739
20579173,0,51.48013917,-0.185063395
20579222,47,51.5384646,-0.080412448
20579345,0,51.51827265,-0.076558036
20579349,45,51.4896391,-0.163886429
20579461,55,51.5305723,-0.086549316
20579476,36,51.54809701,-0.159711391
20579507,2,51.5378044,-0.19586774
20579611,15,51.47907299,-0.20512224
20579669,351,51.49983812,-0.160757809
20579883,285,51.50049444,-0.193663276
20579898,303,51.51726004,-0.039454055
20579946,307,51.52321817,-0.144608448
20580065,14,51.51154181,-0.135116917
20580200,0,51.52297154,-0.063979336
20580238,27,51.4650857,-0.130096687
20580377,179,51.49901817,-0.046930162
20580445,142,51.53166749,-0.224374904
20580692,361,51.61034752,-0.072025918
20581060,331,51.48113892,-0.138526147
20581088,363,51.45917911,-0.371762309
20581158,295,51.5173319,-0.039635189
20581165,4,51.48830007,-0.105442294
20581262,179,51.51014883,-0.236177824
20581324,175,51.49187579,-0.218201422
20581402,177,51.51748319,-0.216096515
20581463,365,51.48042738,-0.039744914
20581557,0,51.53304207,-0.223109718
20581623,303,51.51887611,-0.039534705
20581942,362,51.54897538,-0.089747048
20581947,143,51.52212268,0.012122694
20581960,299,51.51714699,-0.039076873
20582030,293,51.52015281,-0.13661067
20582036,272,51.52364725,-0.103088469
20582056,259,51.51035216,-0.117235336
20582075,254,51.51485331,-0.177929214
20582088,271,51.50554845,-0.214464069
20582102,296,51.51704636,-0.040877666
20582208,289,51.46371761,-0.363340402
20582401,297,51.48990095,-0.208697928
20582437,151,51.49907585,-0.071956582
20582559,25,51.51405097,-0.067635262
20582570,150,51.54887417,-0.062946144
20582602,51,51.52450566,-0.075589828
20582641,89,51.49304908,-0.299757158
20582648,143,51.52260719,0.013498667
20582732,365,51.40806024,-0.211222702
20582895,192,51.49150202,-0.217260339
20582962,188,51.49190223,-0.21764416
20583080,0,51.55478252,-0.176808374
20583171,334,51.52875985,-0.117229074
20583186,4,51.49799471,-0.184328307
20583213,365,51.51237431,-0.471526393
20583228,209,51.49142221,-0.216316205
20583307,66,51.55016464,-0.070477487
20583376,365,51.46418123,0.042678602
20583509,22,51.4596729,-0.167129188
20583675,357,51.53988996,-0.137461789
20583799,0,51.57622263,-0.10536647
20583911,212,51.56787545,-0.026335988
20584155,0,51.49721591,-0.097073675
20584218,340,51.52439851,-0.092500648
20584338,89,51.54172871,0.053705224
20584370,0,51.45797751,-0.139147974
20584548,0,51.52821371,-0.098598151
20584587,88,51.50553706,-0.127234547
20584657,8,51.47585684,-0.216927989
20584662,0,51.53594008,-0.192774419
20584704,32,51.51828366,0.053165411
20584714,34,51.5762961,-0.15107248
20585020,173,51.52395895,-0.050686453
20585125,318,51.49609807,-0.067385703
20585232,0,51.5149896,-0.208968958
20585239,138,51.48765534,0.066295819
20585463,0,51.50804662,-0.251015658
20585690,0,51.52767842,-0.076640005
