id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365
13557710,51.52545,-0.06494,$70.00 ,0,0,0,0
13639977,51.446,-0.21652,$62.00 ,0,0,0,0
13642752,51.49183,-0.27911,$81.00 ,11,41,71,71
13604317,51.54859,-0.10029,$20.00 ,0,0,0,0
13557864,51.48071,-0.1872,$53.00 ,11,33,57,323
13604333,51.45958,-0.12506,$40.00 ,0,0,0,0
13605584,51.53171,-0.07474,$21.00 ,0,0,0,0
13558588,51.53723,-0.13811,$93.00 ,1,15,42,42
13558915,51.52306,-0.20106,$60.00 ,0,0,0,0
13558977,51.4727,-0.16335,$55.00 ,0,0,0,0
13644563,51.54584,-0.08643,$26.00 ,0,0,0,0
13606215,51.56172,0.15955,$38.00 ,30,50,50,50
13644646,51.48887,-0.08868,$30.00 ,0,0,0,0
13645138,51.47222,-0.10643,$86.00 ,15,37,37,39
13559427,51.54663,-0.17028,$87.00 ,0,0,0,0
13606281,51.51952,-0.1719,$990.00 ,29,59,89,89
13559787,51.56012,-0.05625,$100.00 ,0,0,0,0
13561162,51.5296,-0.14247,$350.00 ,14,35,35,36
13645913,51.50139,-0.0972,$156.00 ,2,19,43,274
13608707,51.47924,-0.02826,$73.00 ,6,6,6,36
13646696,51.54217,-0.10801,$65.00 ,0,0,0,0
13561394,51.46596,-0.15963,$79.00 ,0,0,0,0
13609107,51.51777,-0.05213,$25.00 ,0,0,0,0
13561787,51.62682,-0.12939,$85.00 ,0,0,0,0
13648611,51.49594,-0.20246,$280.00 ,30,60,79,79
13648881,51.40594,-0.19367,$35.00 ,0,0,0,0
13649101,51.48454,-0.1834,$70.00 ,0,0,0,0
13609678,51.53584,-0.10245,$60.00 ,0,0,0,0
13649116,51.50004,-0.2192,$400.00 ,0,0,0,0
13609757,51.49723,-0.17243,$261.00 ,0,0,0,0
13561861,51.62527,0.02759,$25.00 ,0,0,0,0
13561941,51.53653,-0.07666,$75.00 ,0,0,0,0
13610003,51.46569,-0.37501,$55.00 ,0,0,0,0
13562302,51.54972,-0.18231,$206.00 ,0,0,0,0
13562628,51.53968,-0.06284,$40.00 ,0,0,0,0
13649721,51.515045,-0.125808,$743.00 ,0,0,0,0
